cardiotocography_2and3_33_variant1,MFIOD,Pt,24.242,25,23.913,22.642,20.339,21.212,22.891,Rt,24.242,30.303,33.333,36.364,36.364,42.424,33.838
diabetes_tested_positive_26_variant1,MFIOD,Pt,80.769,64.103,32.099,31.325,28.571,24.528,43.566,Rt,80.769,96.154,100,100,100,100,96.154
ionosphere_b_24_variant1,MFIOD,Pt,95.833,88.462,74.194,50,46.154,44.444,66.514,Rt,95.833,95.833,95.833,100,100,100,97.917
